,word,binary_score
0,Bachelor of Arts in Nursing,-1.0
1,Byzantine,-1.0
2,C. H. Best,1.0
3,Charles Herbert Best,1.0
4,Chicago,-1.0
5,Eugene Sue,-1.0
6,Janus-faced,-1.0
7,Lake Superior,1.0
8,Laputan,-1.0
9,Michigan,-1.0
10,Newmarket,-1.0
11,PM,1.0
12,Prime Minister,1.0
13,Sturm und Drang,-1.0
14,Trygve Halvden Lie,-1.0
15,Trygve Lie,-1.0
16,abandon,-1.0
17,abandoned,-1.0
18,abandoned ship,-1.0
19,abandoning,-1.0
20,abandonment,-1.0
21,abandonments,-1.0
22,abandons,-1.0
23,abasement,-1.0
24,abash,-1.0
25,abashed,-1.0
26,abatement,-1.0
27,abbreviate,-1.0
28,abdicate,-1.0
29,abdicated,-1.0
30,abdicates,-1.0
31,abdicating,-1.0
32,abdication,-1.0
33,abdications,-1.0
34,aberrance,-1.0
35,aberrancy,-1.0
36,aberrant,-1.0
37,aberration,-1.0
38,aberrational,-1.0
39,aberrations,-1.0
40,abet,-1.0
41,abetting,-1.0
42,abeyance,-1.0
43,abhorrent,-1.0
44,abide,-1.0
45,abide by,1.0
46,abjection,-1.0
47,able,1.0
48,able-bodied,1.0
49,abnegate,-1.0
50,abnegation,-1.0
51,abnormal,-1.0
52,abnormalcy,-1.0
53,abnormalities,-1.0
54,abnormality,-1.0
55,abnormally,-1.0
56,abolish,-1.0
57,abolished,-1.0
58,abolishes,-1.0
59,abolishing,-1.0
60,abortive,-1.0
61,abrasion,-1.0
62,abrasive,-1.0
63,abrasiveness,-1.0
64,abridge,-1.0
65,abrogate,-1.0
66,abrogated,-1.0
67,abrogates,-1.0
68,abrogating,-1.0
69,abrogation,-1.0
70,abrogations,-1.0
71,abrupt,-1.0
72,abruptly,-1.0
73,abruptness,-1.0
74,absence,-1.0
75,absence seizure,-1.0
76,absences,-1.0
77,absent,-1.0
78,absenteeism,-1.0
79,absolutely,1.0
80,absolved,-1.0
81,abundance,1.0
82,abundant,1.0
83,abuse,-1.0
84,abused,-1.0
85,abuses,-1.0
86,abusing,-1.0
87,abusive,-1.0
88,abusively,-1.0
89,abusiveness,-1.0
90,accede,-1.0
91,accent,-1.0
92,accented,-1.0
93,accentuate,-1.0
94,acceptable,1.0
95,acceptance,-1.0
96,accident,-1.0
97,accidental,-1.0
98,accidental injury,-1.0
99,accidentally,-1.0
100,accidents,-1.0
101,acclaim,1.0
102,acclaimed,1.0
103,accolade,1.0
104,accommodate,-1.0
105,accomplish,1.0
106,accomplished,1.0
107,accomplishes,1.0
108,accomplishing,1.0
109,accomplishment,1.0
110,accomplishments,1.0
111,accusal,-1.0
112,accusation,-1.0
113,accusations,-1.0
114,accusative,-1.0
115,accusatory,-1.0
116,accuse,-1.0
117,accused,-1.0
118,accuses,-1.0
119,accusing,-1.0
120,accusive,-1.0
121,ache,-1.0
122,achieve,1.0
123,achieved,1.0
124,achievement,1.0
125,achievements,1.0
126,achiever,1.0
127,achieves,1.0
128,achieving,1.0
129,acquiesce,-1.0
130,acquiesced,-1.0
131,acquiesces,-1.0
132,acquiescing,-1.0
133,acquire,1.0
134,acquirement,1.0
135,acquisition,1.0
136,acquit,-1.0
137,acquits,-1.0
138,acquittal,-1.0
139,acquittals,-1.0
140,acquitted,-1.0
141,acquitting,-1.0
142,action,0.0
143,activated,1.0
144,actus reus,-1.0
145,acutely,-1.0
146,addition,1.0
147,adept,1.0
148,adequately,1.0
149,adjournment,-1.0
150,adjudicate,1.0
151,adjure,-1.0
152,adjust,-1.0
153,admonish,-1.0
154,admonition,-1.0
155,admonitory,0.0
156,adulterant,-1.0
157,adulterate,-1.0
158,adulterated,-1.0
159,adulterating,-1.0
160,adulteration,-1.0
161,adulterations,-1.0
162,advance,1.0
163,advanced,1.0
164,advancement,1.0
165,advancements,1.0
166,advances,1.0
167,advancing,1.0
168,advantage,1.0
169,advantaged,1.0
170,advantageous,1.0
171,advantageously,1.0
172,advantages,1.0
173,adventure,-1.0
174,adversarial,-1.0
175,adversaries,-1.0
176,adversary,-1.0
177,adverse,-1.0
178,adversely,-1.0
179,adversities,-1.0
180,adversity,-1.0
181,advisedly,-1.0
182,affect,1.0
183,affectation,-1.0
184,affectedness,-1.0
185,affirmation,-1.0
186,affirmative,1.0
187,afflicted,-1.0
188,affray,-1.0
189,affright,-1.0
190,aftermath,-1.0
191,aftermaths,-1.0
192,against,-1.0
193,aggravate,-1.0
194,aggravated,-1.0
195,aggravates,-1.0
196,aggravating,-1.0
197,aggravation,-1.0
198,aggravations,-1.0
199,aggravator,-1.0
200,aggression,-1.0
201,aggressively,-1.0
202,aghast,-1.0
203,agitate,0.0
204,agitating,-1.0
205,agitation,0.0
206,agitative,-1.0
207,agonistic,-1.0
208,agony,-1.0
209,agreeably,1.0
210,ail,-1.0
211,ailing,-1.0
212,ailment,-1.0
213,air,-1.0
214,airs,-1.0
215,airy,-1.0
