,word,score
0,'em,0.379542372881356
1,'n,1.41317647058824
2,'n handle,2.839
3,'s a,-0.0230769230769231
4,'s abc,2.26166666666667
5,'s act,2.403
6,'s again,-0.156285714285714
7,'s all,1.04278571428571
8,'s and,-0.154545454545455
9,'s area,-1.64507142857143
10,'s article,2.637
11,'s be,0.149075
12,'s big,2.56572972972973
13,'s but,-0.0878181818181819
14,'s by,-0.513333333333334
15,'s call,2.222
16,'s chart,-0.483568627450981
17,'s close,-0.399820512820512
18,'s closing,-1.4178
19,'s come,-0.549894736842105
20,'s cont,1.9
21,'s continue,0.994657142857143
22,'s do,0.875608695652174
23,'s drop,-1.09491666666667
24,'s first,0.466266666666667
25,'s for,-0.138368421052631
26,'s from,-0.228823529411765
27,'s game,0.19
28,'s gap,-0.2140625
29,'s get,0.9617
30,'s go,0.601015384615385
31,'s hammer,-1.50372727272727
32,'s have,-0.10940625
33,'s hi,1.13471428571429
34,'s higher,3.445
35,'s hold,1.22733333333333
36,'s hope,1.56454545454545
37,'s I,-0.191684210526316
38,'s if,0.6975
39,'s it,-0.0012
40,'s largest,0.8476
41,'s latest,-0.040909090909091
42,'s look,0.260217391304348
43,'s make,2.485
44,'s market,-0.313214285714286
45,'s my,-0.225
46,'s new,1.55538461538462
47,'s news,1.04278571428571
48,'s next,0.2625
49,'s not,0.716407407407407
50,'s now,-0.365818181818182
51,'s num,-0.0583220338983052
52,'s number,-0.1422
53,'s of,-0.337627906976744
54,'s or,-0.228333333333333
55,'s pattern,2.016
56,'s pivot,2.68742007434944
57,'s,0.0217014808431304
58,'s range,0.869333333333333
59,'s rNUM,5.198
60,'s see,0.228957831325301
61,'s show,-0.114444444444444
62,'s sNUM,2.76013888888889
63,'s so,-0.279
64,'s soon,-0.467307692307693
65,'s still,-1.01836363636364
66,'s support,-0.54
67,'s take,-0.566571428571429
68,'s target,1.50184782608696
69,'s the,0.372410714285714
70,'s this,-0.110181818181818
71,'s tkr,-0.219
72,'s to,0.452461538461538
73,'s tomorrow,-2.004
74,'s trade,-0.442285714285715
75,'s trading,-0.0013333333333333
76,'s volume,1.20065217391304
77,'s wait,-0.304363636363637
78,'s why,-0.508666666666666
79,'s you,-0.0765
80,'til,-0.05175
81,!:),1.919
82,$,-0.181653750155136
83,$ and,1.24711111111111
84,$ area,0.923636363636363
85,$ at,0.931333333333334
86,$ be,0.859034482758621
87,$ in,1.16566666666667
88,$ so,-0.187272727272727
89,$ study,-0.911818181818183
90,$ the,-1.4772
91,$ tkr,-0.55816129032258
92,$ today,0.914782608695652
93,% %,0.58125
94,%,-0.0629088643156638
95,% num,0.432352941176471
96,% of,-0.340093023255814
97,% r,-0.837296296296296
98,& a,0.346161290322581
99,& above,2.04134615384616
100,& at,-0.1435
101,& back,1.39764705882353
102,& below,-1.8459375
103,& beyond,1.9
104,& bounce,1.14712765957447
105,& c,-0.140454545454546
106,& can,-0.210769230769231
107,&,-0.182417530500982
108,& change,-0.187272727272727
109,& chart,0.710416666666667
110,& co.,-0.4024
111,& confirm,-0.684461538461539
112,& continue,0.931333333333334
113,& could,-0.75825
114,& cross,2.485
115,& d,0.550636363636364
116,& do,-0.292190476190476
117,& eve,0.81
118,& expect,-0.988799999999999
119,& fail,-2.52681818181818
120,& fall,-1.79
121,& fib,-1.81976470588235
122,& figure,-0.493888888888889
123,& follow,0.632666666666667
124,& gap,-0.529166666666667
125,& gas,0.552066666666667
126,& get,-0.184736842105263
127,& good,1.55084210526316
128,& I,0.510762711864407
129,& if,-0.1755
130,& info,-2.358
131,& it,-0.479578947368422
132,& l,-0.419384615384616
133,& look,0.566076923076923
134,& market,-0.3936
135,& may,1.9
136,& monthly,-1.06430434782609
137,& more,-0.1485
138,& move,0.931333333333334
139,& no,-0.276869565217392
140,& not,-0.328821428571429
141,& num,-0.219840579710145
142,& on,-0.126230769230769
143,& other,1.1286
144,& over,2.016
145,& p.,-1.82785714285714
146,& pullback,1.941
147,& r,-0.928205128205129
148,& ready,-0.228272727272727
149,& resistance,-0.693169811320755
150,& rise,1.23636363636364
151,& roll,-1.04018181818182
152,& s,-1.07713008130081
153,& s.,-0.71239603960396
154,& see,0.727111111111111
155,& silver,-0.646363636363637
156,& smaNUM,-1.36189830508475
157,& stoch,0.727111111111111
158,& stochastic,-0.896727272727272
159,& stock,-0.366666666666666
160,& support,-0.387
161,& t,0.4808
162,& take,0.536421052631579
163,& target,-0.480727272727273
164,& that,-0.0955263157894736
165,& then,-0.135849056603773
166,& this,-0.262730769230769
167,& tl,1.75904347826087
168,& type,2.016
169,& up,3.016
170,& volume,3.363
171,& wait,1.13471428571429
172,& x,1.16029411764706
173,& you,1.41785714285714
174,.:-),0.934918918918919
175,.:),2.793
176,.NUM,0.0567457627118644
178,.NUM.NUM,0.73764705882353
179,:-(,-0.779625
180,:-),0.419775
181,:-)),2.604
182,:(,-0.165516483516484
183,:),1.02492250922509
184,:)),1.51944444444444
185,:).,0.177727272727273
186,:/,-0.117222222222222
187,:D,1.35870967741935
188,:p,-0.0585454545454546
189,:P,-1.2545945945946
190,;-),0.5016
191,;),0.784554744525547
192,@,0.745
194,^ complete,4.043
195,^ imminent,3.93
196,^,5.5055593220339
199,_,-0.04004
200,|,-0.0210786516853933
203,~ enjoy,3.988
204,~,0.2436
207,~:),2.334
208,+ +,2.28926966292135
209,+ addition,5.161
210,+ before,2.485
211,+ by,3.839
212,+,1.53965007600699
213,+ chart,3.93
214,+ close,2.9
215,+ come,2.9
216,+ cross,3.07
217,+ day,1.61311111111111
218,+ from,2.708
219,+ gain,1.86995454545455
220,+ handle,3.222
221,+ in,2.04025641025641
222,+ last,1.20065217391304
223,+ move,4.097
224,+ next,2.222
225,+ or,1.9
226,+ point,-0.8835
227,+ r,1.9
228,+ run,1.68625
229,+ s,-1.4979512195122
230,+ since,4.48831481481482
231,+ soon,4.016
232,+ stock,2.637
233,+ target,2.123
234,+ this,3.485
235,+ to,1.55084210526316
236,+ today,1.50346341463415
237,+ volume,3.27
238,+NUM,-0.331785714285714
239,<<,-0.0114545454545455
240,= $,1.00267857142857
241,= ^,5.016
242,= +,1.9
243,= bear,-2.76375
244,= bearish,-4.35581967213115
245,= cd,-0.951016949152542
246,= higher,2.9
247,=,-0.32513314849307
248,= more,1.06473684210526
249,= not,-1.76266666666667
250,= NUMm,1.9
251,= sell,-3.51428571428571
253,=),1.21269565217391
254,=)),2.056
255,=P,0.855454545454545
256,>>,-0.26388679245283
258,>> tkr,-4.14646153846154
259,a-b-c,-0.0912
260,a +,1.05718181818182
261,a a,0.734125
262,a absolute,2.637
263,a additional,0.825
264,a amazing,1.3065652173913
265,a announcement,0.818181818181818
266,a area,-0.5824
267,a asc,2.403
268,a b,-0.365818181818182
269,a baby,-0.423076923076924
270,a back,-0.635
271,a bailout,-1.67933333333333
272,a bear,-1.72304371584699
273,a bearish,-4.70637037037037
274,a beating,-0.892058823529411
275,a bet,-0.427777777777778
276,a better,-0.200358490566038
